index,ArharSplit,AttaFAQ,BajraFAQ,BananaFAQ,BesanNA,BiscuitGlucose,BlackNA,BreadLocal,BrinjalFAQ,ChickenPoultry,CoconutDry,CoconutFresh,CoconutNA,CumminNA,EggsNA,FishPomphret,GheeDesi,GingellyNA,GramSplit,GramWhole,GroundnutNA,GurLocal,JowarWhite,MaidaNA,MaizeFAQ,MasurSplit,MeatMutton,MilkCowBuffalo,MilkDairy,MoongSplit,MustardNA,OnionFAQ,PotatoFAQ,RagiFAQ,RedNA,RiceCommonCoarse,RiceFine,RiceSuperfine,SaltLoosecommon,SaltPacketiodized,SugarNA,SujiNA,TeaCtcloose,TomatoFAQ,UradSplit,VanaspatiDaldaRathAny,VanaspatiNA,WheatDesi
22062007weekIndiaAmritsar,38,12,12,25,35,10,180,12,12,70,12,15,130,160,24,NA,155,70,34,32,80,20,12,15,10,40,130,12,16,46,57,8,8,NA,12,16,35,40,2,6,15,15,110,10,45,120,56,8.6999998
22062012weekIndiaAmritsar,82,20,18,150,110,NA,8,NA,NA,210,240,55,80,10,NA,30,26,95,60,58,90,6,20,68,NA,58,28.799999,290,8,60,120,50,16,16,NA,26,NA,NA,30,8,80,18,20,90,56,140,260,18
22072005weekIndiaAmritsar,34,9.5,10,20,24,5,220,8,6,70,32,30,50,130,22,NA,135,60,22,20,65,16,NA,15,7,28,100,15,15,28,44,6,8,8,NA,14,58,52,6,7,20,12,45,5.5,28,NA,48,NA
22072011weekIndiaAmritsar,72,16,15,100,42,15,NA,NA,45,120,32,NA,NA,15,34,NA,14,NA,40,42,75,130,16,20,16,55,235,28,27,75,78,30,15,NA,10,27,NA,NA,13.9,19,38,18,73,15,72,NA,70,NA
22082008weekIndiaAmritsar,45,12.5,10,20,40,5,220,12,16,80,NA,NA,140,160,NA,NA,175,110,40,38,100,25,12,15,12,55,150,18,18,45,75,12,10,NA,18,18,50,60,3,8,22,16,120,15,40,130,60,NA
22092006weekIndiaAmritsar,40,12,12,20,42,10,140,10,12,60,24,30,65,120,20,NA,160,80,41,42,75,22,10,13,10,38,130,12,15,50,50,8,12,NA,60,13,32,40,5,8,21,13,NA,20,56,50,52,9.5
22102010weekIndiaAmritsar,68,15,13,35,38,5,265,10,20,120,NA,15,165,NA,36,NA,250,65,36,34,85,40,15,20,15,60,180,22,22,65,66,25,10,NA,18,22,NA,NA,10,12,32,20,180,30,60,NA,50,NA
23012009weekIndiaAmritsar,48,12.5,9.5,35,31,5,220,14,25,110,NA,NA,140,160,NA,NA,220,120,33,30,110,28,12,15,9.5,54,150,19,18,43,78,24,4,NA,17,20,52,54,5,10,23,15.5,140,20,44,NA,48,NA
23022007weekIndiaAmritsar,42,13,10,NA,40,6,NA,12,NA,80,NA,NA,100,NA,30,NA,NA,50,40,40,70,NA,12,15,13,45,130,NA,NA,50,55,NA,NA,40,NA,12,28,35,NA,NA,NA,15,NA,NA,50,112,60,NA
23032012weekIndiaAmritsar,70,20,18,150,110,NA,10,NA,NA,200,180,55,80,30,NA,30,26,90,54,54,90,5,16,65,NA,55,28,290,8,50,120,40,15,16,NA,22,NA,NA,25,10,80,18,16,60,52,120,260,18
23042010weekIndiaAmritsar,72,15,13,60,40,15,NA,NA,30,120,34,NA,165,7,36,NA,10,65,40,36,85,160,14,19,12,68,160,22,25,75,66,20,10,NA,17,22,NA,NA,12,20,42,19,66,20,52,NA,48,NA
23062006weekIndiaAmritsar,35,10,9,25,32,12,120,10,12,90,NA,NA,55,NA,14.4,210,135,60,32,30,60,22,10,13,9,35,130,15,16,43,45,6,10,NA,72,13,32,40,7,8,22,13,30,40,34,52,48,7.3000002
23072010weekIndiaAmritsar,68,15,13,80,38,NA,NA,NA,35,120,32,NA,165,12,36,NA,10,65,36,32,85,160,15,19,12,65,160,22,25,72,66,40,12,NA,17,22,NA,NA,12,30,42,19,66,20,65,NA,48,NA
23092011weekIndiaAmritsar,72,17,NA,70,42,15,NA,NA,40,140,33,NA,70,14,36,NA,12,75,42,40,70,140,16,20,18,55,235,28,30,75,78,15,20,NA,12,28,NA,NA,12,20,38,18,NA,10,65,NA,64,NA
23102009weekIndiaAmritsar,84,14,13,NA,40,15,180,NA,20,120,35,NA,165,NA,36,NA,240,65,38,36,85,160,14,17,12,72,200,22,NA,80,60,23,20,NA,16,22,NA,NA,10,12,38,18,66,20,48,NA,48,NA
23122005weekIndiaAmritsar,34,7.5,7,18,24,5,220,8,15,70,NA,NA,50,130,22,NA,135,60,22,20,65,16,10,15,8,28,100,15,15,28,44,10,10,NA,NA,14,58,52,6,7,20,12,45,10,28,NA,48,NA
23122011weekIndiaAmritsar,70,16,16,50,52,5,400,15,20,140,NA,35,120,NA,36,NA,305,90,50,50,110,45,18,18,18,50,200,32,30,68,84,9,8,NA,20,28,32,NA,8,13,34,20,180,15,60,NA,64,NA
24012014weekIndiaAmritsar,68,18,18,50,60,13,460,22,25,150,150,NA,120,110,48,NA,320,93,60,50,110,50,22,22,18,66,300,35,33,82,80,25,10,NA,26,30,36,70,10,16,35,22,200,30,64,NA,75,NA
24022006weekIndiaAmritsar,34,10,7,20,24,5,220,8,10,70,32,30,50,130,22,NA,135,60,22,20,65,16,10,15,8,28,100,15,15,28,44,10,8,NA,NA,14,52,58,6,7,21,12,45,10,28,NA,48,NA
24022012weekIndiaAmritsar,70,16,16,40,54,5,450,16,15,140,150,30,120,NA,40,NA,290,90,54,52,110,55,18,18,18,50,260,32,30,68,90,10,5,NA,25,22,NA,NA,8,14,33,20,180,30,60,NA,80,NA
24032006weekIndiaAmritsar,34,10,8,20,24,5,220,8,10,70,32,30,50,130,NA,NA,135,60,22,20,65,16,10,15,8,28,100,15,15,28,44,8,8,NA,NA,14,33,40,6,7,21,12,45,10,28,52,48,NA
24042009weekIndiaAmritsar,40,12,10,30,35,5,160,14,20,100,NA,15,170,NA,30,NA,195,90,38,42,90,32,11.15,15,10,65,160,20,20,55,65,13,8,NA,9,20,NA,NA,NA,10,27,15,140,18,45,NA,60,NA
