index,ArharSplit,AttaFAQ,BajraFAQ,BananaFAQ,BesanNA,BiscuitGlucose,BlackNA,BreadLocal,BrinjalFAQ,ChickenPoultry,CoconutDry,CoconutFresh,CoconutNA,CumminNA,EggsNA,FishPomphret,GheeDesi,GingellyNA,GramSplit,GramWhole,GroundnutNA,GurLocal,JowarWhite,MaidaNA,MaizeFAQ,MasurSplit,MeatMutton,MilkCowBuffalo,MilkDairy,MoongSplit,MustardNA,OnionFAQ,PotatoFAQ,RagiFAQ,RedNA,RiceCommonCoarse,RiceFine,RiceSuperfine,SaltLoosecommon,SaltPacketiodized,SugarNA,SujiNA,TeaCtcloose,TomatoFAQ,UradSplit,VanaspatiDaldaRathAny,VanaspatiNA,WheatDesi
26042013weekIndiaDelhi,80,20,18,40,NA,NA,NA,NA,32,120,NA,NA,120,NA,42,615,300,NA,50,40,150,40,19,NA,19,60,270,38,NA,85,90,20,14,NA,30,26,NA,NA,NA,16,36,NA,NA,20,70,NA,62,NA
03052013weekIndiaDelhi,80,20,17,40,NA,NA,NA,NA,30,115,NA,NA,125,NA,42,610,300,NA,50,38,150,40,19,NA,18,60,270,40,NA,85,90,20,16,NA,30,26,NA,NA,NA,16,36,NA,NA,25,70,NA,62,NA
10052013weekIndiaDelhi,80,19,17,40,NA,NA,NA,NA,30,115,NA,NA,120,NA,42,610,300,NA,52,38,150,40,18,NA,18,60,270,40,NA,85,90,18,16,NA,30,25,NA,NA,NA,16,36,NA,NA,20,70,NA,62,NA
17052013weekIndiaDelhi,80,19,18,40,NA,NA,NA,NA,30,135,NA,NA,120,NA,42,605,300,NA,50,37,150,40,18,NA,18,60,270,40,NA,85,90,18,16,NA,30,25,NA,NA,NA,16,36,NA,NA,18,70,NA,62,NA
24052013weekIndiaDelhi,80,19,18,40,NA,NA,NA,NA,30,125,NA,NA,120,NA,42,605,300,NA,50,38,150,40,19,NA,19,60,270,40,NA,85,90,18,16,NA,30,25,NA,NA,NA,16,36,NA,NA,20,70,NA,62,NA
31052013weekIndiaDelhi,80,20,18,35,NA,NA,NA,NA,28,125,NA,NA,120,NA,42,605,300,NA,50,37,150,45,19,NA,19,60,270,40,NA,85,90,18,16,NA,30,25,NA,NA,NA,16,36,NA,NA,20,70,NA,62,NA
07062013weekIndiaDelhi,80,20,18,35,NA,NA,NA,NA,25,125,NA,NA,125,NA,42,605,300,NA,50,38,150,40,19,NA,19,60,270,40,NA,90,90,20,18,NA,30,25,NA,NA,NA,16,36,NA,NA,16,70,NA,65,NA
14062013weekIndiaDelhi,80,20,18,35,NA,NA,NA,NA,25,135,NA,NA,125,NA,42,605,300,NA,50,38,150,40,19,NA,19,60,270,40,NA,90,90,20,16,NA,30,25,NA,NA,NA,16,36,NA,NA,16,70,NA,65,NA
21062013weekIndiaDelhi,80,20,19,35,NA,NA,NA,NA,32,135,NA,NA,125,NA,42,605,300,NA,50,38,150,40,19,NA,19,60,270,40,NA,90,90,28,18,NA,30,25,NA,NA,NA,16,36,NA,NA,25,70,NA,65,NA
28062013weekIndiaDelhi,85,NA,19,120,150,NA,NA,NA,35,42,35,NA,65,18,120,NA,NA,90,NA,50,NA,NA,19,75,NA,70,140,NA,NA,65,125,50,24,20,12,25,NA,NA,16,18,40,NA,NA,40,38,270,NA,20
05072013weekIndiaDelhi,75,20,19,35,NA,NA,NA,NA,50,115,NA,NA,125,NA,42,605,300,NA,50,38,150,40,20,NA,19,60,270,40,NA,85,90,25,18,NA,30,25,NA,NA,NA,16,35,NA,NA,60,70,NA,70,NA
12072013weekIndiaDelhi,75,20,18,35,NA,NA,NA,NA,50,115,NA,NA,125,NA,42,605,300,NA,50,38,150,40,19,NA,18,60,270,40,NA,85,90,30,20,NA,30,25,NA,NA,NA,16,35,NA,NA,60,70,NA,70,NA
19072013weekIndiaDelhi,85,NA,18,120,150,NA,NA,NA,35,42,35,NA,70,20,115,NA,NA,90,NA,50,NA,NA,18,75,NA,70,115,NA,NA,60,125,60,30,20,12,25,NA,NA,16,18,40,NA,NA,50,38,270,NA,19
26072013weekIndiaDelhi,85,NA,18,NA,140,NA,16,NA,120,110,40,35,70,38,600,40,16,100,62,50,NA,NA,15,75,NA,72,42,NA,300,60,125,40,48,20,NA,25,NA,NA,18,30,NA,NA,NA,35,38,110,270,19
02082013weekIndiaDelhi,85,NA,18,120,135,NA,NA,NA,35,42,36,NA,70,16,120,NA,NA,100,62,50,NA,NA,15,70,NA,72,120,NA,NA,60,125,30,38,20,12,25,NA,NA,16,18,40,NA,NA,30,36,270,NA,19
09082013weekIndiaDelhi,75,20,15,35,62,NA,NA,NA,40,130,NA,NA,125,NA,45,600,300,NA,50,38,140,40,19,NA,18,60,280,40,NA,85,100,40,15,NA,30,25,NA,NA,NA,16,36,NA,NA,35,72,NA,70,NA
16082013weekIndiaDelhi,76,20,15,35,62,NA,NA,NA,40,130,NA,NA,125,NA,45,605,300,NA,50,38,140,40,19,NA,18,62,280,40,NA,86,100,50,18,NA,30,25,NA,NA,NA,16,36,NA,NA,35,72,NA,70,NA
23082013weekIndiaDelhi,NA,86,18,NA,15,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,50,NA,15,NA,19,125,NA,NA,NA,100,36,NA,NA,76,NA,25,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,19
30082013weekIndiaDelhi,NA,86,18,NA,15,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,50,NA,15,NA,19,125,NA,NA,NA,100,36,NA,NA,78,NA,25,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,19
06092013weekIndiaDelhi,NA,85,18,NA,130,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,36,NA,NA,280,NA,48,NA,15,NA,19,125,25,NA,NA,90,NA,NA,NA,78,NA,25,NA,NA,NA,NA,NA,62,NA,NA,70,50,15,19
13092013weekIndiaDelhi,NA,84,18,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,36,NA,18,18,120,70,125,290,NA,16,NA,20,NA,NA,12,NA,140,48,NA,40,76,35,25,NA,NA,50,30,NA,60,NA,NA,100,NA,40,20
20092013weekIndiaDelhi,NA,84,18,NA,NA,NA,NA,NA,NA,340,NA,NA,NA,34,NA,21,16,130,70,125,300,NA,16,NA,20,NA,NA,15,NA,140,48,NA,40,75,35,25,NA,NA,65,35,NA,60,NA,NA,105,NA,40,20
27092013weekIndiaDelhi,75,NA,17,NA,100,NA,35,NA,NA,NA,NA,NA,120,70,NA,NA,NA,75,NA,140,130,NA,17,72,NA,NA,40,21,25,55,300,36,NA,19,55,25,NA,NA,NA,18,NA,NA,NA,40,NA,NA,48,19
04102013weekIndiaDelhi,75,NA,17,NA,100,NA,40,NA,NA,37,NA,NA,125,70,NA,NA,NA,75,NA,140,130,NA,17,70,NA,NA,40,21,25,55,300,34,NA,20,35,23,NA,NA,NA,18,NA,NA,NA,40,NA,NA,48,18
11102013weekIndiaDelhi,75,NA,17,NA,140,NA,25,NA,40,NA,NA,NA,75,45,37,340,15,85,62,48,NA,NA,17,70,NA,70,48,16,21,55,130,NA,70,20,55,23,NA,NA,NA,NA,NA,NA,NA,34,41,115,300,18
18102013weekIndiaDelhi,70,20,17,45,62,NA,NA,NA,25,115,NA,NA,130,NA,48,500,340,NA,48,41,140,40,18,NA,17,55,300,40,37,75,85,55,18,NA,25,23,NA,NA,NA,16,34,NA,NA,35,70,NA,75,NA
25102013weekIndiaDelhi,72,20,15,40,62,NA,NA,NA,35,110,NA,NA,130,NA,52,600,340,NA,50,38,135,40,17,NA,16,56,320,42,37,75,100,75,30,NA,25,25,NA,NA,NA,16,34,NA,NA,35,70,NA,75,NA
01112013weekIndiaDelhi,72,20,16,40,62,NA,NA,NA,25,110,NA,NA,130,NA,52,605,340,NA,50,38,135,40,17,NA,17,56,330,42,NA,75,100,55,30,NA,25,25,NA,NA,NA,16,34,NA,NA,40,70,NA,75,NA
08112013weekIndiaDelhi,70,20,15,40,62,NA,NA,NA,35,110,NA,NA,130,NA,54,610,340,NA,48,38,140,35,17,NA,17,60,340,42,NA,74,100,65,40,NA,25,25,NA,NA,NA,16,34,NA,NA,70,68,NA,75,NA
15112013weekIndiaDelhi,70,20,15,70,62,NA,NA,NA,40,120,34,NA,130,25,54,615,NA,NA,48,38,145,NA,19,NA,19,60,340,NA,NA,74,100,70,60,NA,15,26,NA,NA,16,21,35,NA,NA,40,68,NA,75,NA
22112013weekIndiaDelhi,70,20,15,40,62,NA,NA,NA,40,115,NA,NA,130,NA,54,640,340,NA,48,38,145,35,17,NA,19,60,340,42,NA,74,100,60,20,NA,25,26,NA,NA,NA,16,34,NA,NA,70,68,NA,75,NA
29112013weekIndiaDelhi,72,20,16,40,62,NA,NA,NA,30,120,NA,NA,130,NA,54,640,340,NA,45,38,150,35,19,NA,20,60,340,42,NA,75,100,50,20,NA,25,26,NA,NA,NA,16,34,NA,NA,70,68,NA,75,NA
06122013weekIndiaDelhi,72,21,16,40,62,NA,NA,NA,25,125,NA,NA,130,NA,54,640,360,NA,46,38,150,35,19,NA,20,60,340,42,NA,75,100,45,20,NA,25,26,NA,NA,NA,16,34,NA,NA,50,68,NA,75,NA
13122013weekIndiaDelhi,72,21,16,40,62,NA,NA,NA,25,120,NA,NA,140,NA,54,665,360,NA,46,38,150,35,19,NA,19,60,340,42,NA,75,100,45,21,NA,25,26,NA,NA,NA,16,34,NA,NA,50,68,NA,80,NA
20122013weekIndiaDelhi,72,21,16,40,62,NA,NA,NA,25,140,NA,NA,140,NA,54,600,360,NA,46,38,150,34,19,NA,19,60,340,42,NA,75,100,40,20,NA,25,26,NA,NA,NA,16,34,NA,NA,50,68,NA,80,NA
27122013weekIndiaDelhi,72,21,16,40,62,NA,NA,NA,25,145,NA,NA,140,NA,54,600,360,NA,46,38,150,35,19,NA,19,60,340,42,NA,75,100,40,20,NA,25,26,NA,NA,NA,16,34,NA,NA,50,68,NA,80,NA
03012014weekIndiaDelhi,72,21,16,40,NA,NA,NA,NA,20,145,NA,NA,140,NA,54,625,NA,NA,46,38,150,35,19,NA,19,60,340,42,NA,75,100,40,20,NA,NA,26,NA,NA,NA,NA,34,NA,NA,30,68,NA,80,NA
10012014weekIndiaDelhi,70,21,16,40,NA,NA,NA,NA,20,145,NA,NA,145,NA,54,630,360,NA,45,38,140,35,19,NA,19,60,350,42,NA,76,100,30,15,NA,24,26,NA,NA,NA,17,34,NA,NA,25,68,NA,80,NA
17012014weekIndiaDelhi,70,21,16,40,NA,NA,NA,NA,20,145,NA,NA,145,NA,54,620,360,NA,45,38,140,35,19,NA,19,60,350,42,NA,76,100,30,15,NA,24,26,NA,NA,NA,17,34,NA,NA,25,68,NA,80,NA
24012014weekIndiaDelhi,70,21,16,40,NA,NA,NA,NA,20,145,NA,NA,145,NA,54,620,NA,NA,45,38,140,35,19,NA,19,60,350,42,NA,76,100,30,15,NA,NA,26,NA,NA,NA,NA,34,NA,NA,20,68,NA,80,NA
31012014weekIndiaDelhi,70,20,15,40,NA,NA,NA,NA,20,125,NA,NA,145,NA,54,605,NA,120,45,38,140,35,19,NA,18,60,350,42,NA,74,100,30,15,NA,NA,26,NA,NA,NA,NA,34,NA,NA,20,68,NA,80,NA
07022014weekIndiaDelhi,70,20,15,40,NA,NA,NA,NA,20,125,NA,30,145,NA,54,595,NA,120,45,38,140,34,19,NA,18,60,350,42,NA,74,100,25,10,NA,NA,26,NA,NA,NA,NA,34,NA,NA,20,68,NA,80,NA
14022014weekIndiaDelhi,70,20,15,40,NA,NA,NA,NA,20,125,NA,30,145,NA,54,595,NA,120,45,38,140,35,19,NA,17,60,350,42,NA,74,100,25,10,NA,NA,26,NA,NA,NA,NA,34,NA,NA,20,68,NA,80,NA
21022014weekIndiaDelhi,70,20,15,40,NA,NA,NA,NA,20,115,NA,30,145,NA,54,545,NA,120,45,38,140,34,19,NA,17,60,350,42,NA,74,100,20,12,NA,NA,26,NA,NA,NA,NA,34,NA,NA,20,68,NA,80,NA
28022014weekIndiaDelhi,70,20,15,40,55,NA,NA,NA,20,115,NA,30,145,NA,54,545,400,120,45,38,140,35,19,NA,17,60,350,42,NA,74,100,20,12,NA,25,26,NA,NA,NA,16,34,NA,NA,20,68,75,80,NA
07032014weekIndiaDelhi,70,20,15,40,55,NA,NA,NA,20,110,NA,30,145,NA,54,595,400,120,45,38,140,35,19,NA,17,60,350,42,NA,74,100,20,15,NA,8,26,NA,NA,NA,16,34,NA,NA,20,68,75,80,NA
14032014weekIndiaDelhi,70,20,15,40,55,NA,NA,NA,20,105,NA,35,145,NA,54,605,400,165,45,38,140,35,19,NA,17,60,350,42,NA,74,100,20,15,NA,25,26,NA,NA,NA,16,34,NA,NA,20,68,75,80,NA
21032014weekIndiaDelhi,70,20,15,40,55,NA,NA,NA,20,100,NA,35,145,NA,54,605,400,165,45,38,140,35,19,NA,17,60,350,42,NA,74,100,20,15,NA,25,26,NA,NA,NA,16,34,NA,NA,18,68,NA,80,NA
28032014weekIndiaDelhi,70,20,15,40,55,NA,NA,NA,20,95,NA,40,145,NA,54,605,400,165,45,38,140,35,19,NA,17,60,350,42,NA,74,100,20,15,NA,25,26,NA,NA,NA,16,34,NA,NA,20,68,NA,80,NA
