date,Apple,Banana,Onion,Potato
2010-05-01,75.0,12.25,6.333333333333333,4.127777777777777
2010-05-02,70.0,12.125,6.316666666666667,4.133333333333334
2010-05-03,45.0,12.25,6.2,4.166666666666667
2010-05-04,52.5,11.875,5.8,4.216666666666667
2010-05-05,71.66666666666666,12.0,5.9,4.133333333333334
2010-05-06,80.83333333333333,13.0,5.7,4.116666666666666
2010-05-07,91.25,12.5,5.8583333333333325,4.2555555555555555
2010-05-08,92.5,12.0,6.0166666666666675,4.094444444444444
2010-05-09,93.75,12.333333333333334,5.8549999999999995,4.116666666666667
2010-05-10,95.0,12.416666666666666,6.093333333333334,4.138888888888888
2010-05-11,96.25,12.0,6.031666666666666,3.994444444444445
2010-05-12,97.5,12.5,5.87,4.266666666666667
2010-05-13,97.5,12.0,6.0,4.466666666666667
2010-05-14,97.5,12.75,5.8,4.25
2010-05-15,88.2,12.5,5.75,4.1875
2010-05-16,80.0,12.0,5.5,4.319444444444445
2010-05-17,90.33333333333333,12.0,6.2,4.284722222222222
2010-05-18,76.66666666666667,12.75,5.8,4.333333333333333
2010-05-19,97.5,12.75,5.7,4.666666666666667
2010-05-20,95.0,12.75,5.6,4.416666666666667
2010-05-21,97.5,13.25,6.0,4.416666666666667
2010-05-22,95.0,12.5,5.7,4.333333333333333
2010-05-23,97.5,13.0,6.0,4.4750000000000005
2010-05-24,107.5,13.0,6.1,4.416666666666667
2010-05-25,95.0,13.0,6.529999999999999,4.641666666666667
2010-05-26,51.0,12.5,6.427633587786261,3.875
2010-05-27,58.84,13.0,6.671933842239186,3.9583333333333335
2010-05-28,70.0,13.0,6.896234096692112,4.166666666666667
2010-05-29,73.21428571428572,12.5,6.820534351145038,4.233333333333333
2010-05-30,78.92857142857143,12.666666666666666,6.878167938931298,4.041666666666667
2010-05-31,82.97619047619047,12.833333333333334,6.835801526717558,4.013888888888888
2010-06-01,87.02380952380953,13.0,6.793435114503817,3.986111111111111
2010-06-02,91.07142857142857,13.0,6.427735368956744,4.166666666666667
2010-06-03,79.28571428571428,12.5,6.50203562340967,4.25
2010-06-04,86.5,12.5,6.376335877862596,4.458333333333333
2010-06-05,34.0,12.0,5.983969465648855,4.416666666666667
2010-06-06,35.5,12.166666666666666,6.491603053435114,4.1499999999999995
2010-06-07,64.0,12.083333333333334,5.9992366412213745,4.283333333333333
2010-06-08,92.5,12.5,6.106870229007634,4.241666666666666
2010-06-09,94.0,12.5,6.514503816793893,4.283974358974359
2010-06-10,95.5,11.25,6.822137404580152,4.234615384615385
2010-06-11,92.0,13.0,6.129770992366413,4.28525641025641
2010-06-12,88.5,12.875,6.237404580152672,4.285897435897436
2010-06-13,85.0,12.0,6.245038167938931,4.744871794871795
2010-06-14,110.0,12.125,6.1526717557251915,4.27051282051282
2010-06-15,112.5,12.5,6.1603053435114505,4.371153846153846
2010-06-16,60.0,12.0,6.4179389312977095,4.271794871794872
2010-06-17,70.0,11.5,6.52557251908397,4.8724358974358974
2010-06-18,80.0,11.5,6.433206106870228,4.3730769230769235
2010-06-19,80.0,12.5,6.240839694656489,4.748717948717949
2010-06-20,80.0,12.333333333333334,6.448473282442748,5.124358974358974
2010-06-21,50.0,12.166666666666666,6.1061068702290076,5.041666666666667
2010-06-22,56.25,12.0,6.513740458015268,5.125
2010-06-23,82.5,12.5,6.421374045801526,4.916666666666667
2010-06-24,77.5,12.0,6.829007633587786,4.986111111111112
2010-06-25,68.46153846153847,12.5,6.536641221374046,4.805555555555555
2010-06-26,79.42307692307693,12.5,6.544274809160305,4.875
2010-06-27,90.38461538461539,12.541666666666668,6.551908396946564,5.035714285714286
2010-06-28,88.01282051282053,12.583333333333332,6.459541984732825,4.696428571428572
2010-06-29,85.64102564102564,12.625,6.5671755725190835,4.690476190476191
2010-06-30,83.26923076923077,12.625,6.541475826972009,4.809523809523809
2010-07-01,72.56410256410255,12.125,6.915776081424935,4.845238095238096
2010-07-02,61.85897435897436,12.125,6.490076335877862,4.997619047619048
2010-07-03,51.153846153846146,12.625,6.697709923664123,5.166666666666667
2010-07-04,54.61538461538462,12.5,6.305343511450381,5.416666666666667
2010-07-05,54.32692307692308,12.0,6.679643765903307,5.75
2010-07-06,54.03846153846154,11.875,6.853944020356233,5.916666666666667
2010-07-07,55.0,11.75,6.9282442748091615,6.208333333333333
2010-07-08,44.0,12.25,7.195877862595419,5.881666666666667
2010-07-09,37.5,12.75,7.18478804612636,5.509787234042553
2010-07-10,40.625,12.625,7.173698229657302,5.21290780141844
2010-07-11,43.75,12.5,7.42260841318824,4.882695035460993
2010-07-12,44.375,12.375,7.7515185967191815,4.519148936170213
2010-07-13,50.0,12.25,7.580428780250122,4.47763987391647
2010-07-14,37.0,12.25,7.409338963781062,4.71946414499606
2010-07-15,36.5,12.25,7.738249147312004,4.744621749408982
2010-07-16,20.0,12.25,7.767159330842944,4.869779353821907
2010-07-17,25.5,12.25,7.796069514373883,4.861603624901497
2010-07-18,35.0,12.25,7.964979697904823,4.836761229314421
2010-07-19,35.5,12.75,7.9938898814357655,4.995252167060678
2010-07-20,23.5,12.75,8.082800064966705,5.045409771473602
2010-07-21,22.5,12.75,7.811710248497645,5.078900709219858
2010-07-22,25.0,12.75,7.840620432028585,5.55868794326241
2010-07-23,24.0,12.75,7.702863948892857,5.29403073286052
2010-07-24,24.0,12.75,7.765107465757133,5.262706855791962
2010-07-25,25.0,12.666666666666666,7.8273509826214065,5.295966312056737
2010-07-26,24.666666666666668,12.583333333333334,7.656261166152348,4.907003546099291
2010-07-27,26.833333333333332,12.5,7.685171349683287,4.98470744680851
2010-07-28,26.5,12.5,7.914081533214227,4.704078014184397
2010-07-29,27.5,12.25,8.042991716745167,4.956781914893617
2010-07-30,27.25,12.25,8.096901900276109,4.659485815602836
2010-07-31,29.5,12.25,8.35081208380705,5.028856382978723
2010-08-01,28.416666666666668,12.416666666666666,8.62472226733799,4.89822695035461
2010-08-02,27.333333333333332,12.583333333333334,8.55863245086893,4.767597517730497
2010-08-03,26.25,12.75,8.287542634399871,4.861968085106383
2010-08-04,26.0,12.25,8.61645281793081,4.836894208037825
2010-08-05,25.75,12.25,8.745363001461751,4.781264775413711
2010-08-06,25.5,12.25,8.974273184992692,4.608968676122932
2010-08-07,25.25,12.25,9.05318336852363,4.556117021276595
2010-08-08,27.5,12.416666666666666,9.532093552054572,4.408820921985815
2010-08-09,25.0,12.333333333333334,9.161003735585513,4.328191489361702
2010-08-10,25.0,12.25,9.189913919116453,4.314228723404255
2010-08-11,28.5,12.0,9.478824102647392,4.333599290780142
2010-08-12,27.5,13.0,9.517734286178333,4.177969858156028
2010-08-13,31.5,13.0,9.476644469709274,4.289007092198582
2010-08-14,24.0,12.75,9.505554653240214,4.100044326241135
2010-08-15,22.5,12.916666666666666,9.734464836771155,4.108303782505911
2010-08-16,32.5,12.833333333333334,9.963375020302095,4.033229905437353
2010-08-17,26.5,12.75,10.092285203833034,4.124822695035461
2010-08-18,31.5,12.75,9.871195387363976,4.114760638297873
2010-08-19,22.5,12.75,10.450105570894916,4.188031914893617
2010-08-20,27.5,12.75,10.479015754425856,4.094636524822695
2010-08-21,25.0,12.75,9.894592604623464,3.9901300236406616
2010-08-22,25.0,12.75,9.79016945482107,4.135623522458629
2010-08-23,25.0,12.75,9.785746305018678,4.11445035460993
