date,Onion,Potato,Rice,Wheat
2010-03-29,12.0,10.0,20.0,21.0
2010-03-30,12.0,10.0,20.0,21.0
2010-03-31,10.0,10.0,20.0,21.0
2010-04-01,10.0,10.0,20.0,21.0
2010-04-02,10.0,10.0,20.0,21.0
2010-04-03,10.0,10.0,20.0,21.0
2010-04-04,10.0,10.0,20.0,21.0
2010-04-05,10.0,10.0,20.0,21.0
2010-04-06,10.0,10.0,20.0,21.0
2010-04-07,10.0,10.0,20.0,21.0
2010-04-08,10.0,10.0,20.0,21.0
2010-04-09,10.0,10.0,20.0,21.0
2010-04-10,10.0,10.0,20.0,21.0
2010-04-11,10.0,10.0,20.0,21.0
2010-04-12,10.0,10.0,20.0,21.0
2010-04-13,10.0,10.0,20.0,21.0
2010-04-14,10.0,10.0,20.0,21.0
2010-04-15,10.0,10.0,20.0,21.0
2010-04-16,10.0,10.0,20.0,21.0
2010-04-17,10.0,10.0,20.0,21.0
2010-04-18,10.0,10.0,20.0,21.0
2010-04-19,10.0,10.0,20.0,21.0
2010-04-20,10.0,10.0,20.0,21.0
2010-04-21,10.0,10.0,20.0,21.0
2010-04-22,10.0,10.0,20.0,21.0
2010-04-23,10.0,10.0,20.0,21.0
2010-04-24,10.0,11.0,20.0,21.0
2010-04-25,10.0,12.0,20.0,21.0
2010-04-26,10.0,13.0,20.0,21.0
2010-04-27,10.0,14.0,20.0,21.0
2010-04-28,10.0,12.0,20.0,21.0
2010-04-29,10.0,12.0,20.0,21.0
2010-04-30,10.0,12.0,20.0,21.0
2010-05-01,10.0,12.5,20.0,21.0
2010-05-02,10.0,13.0,20.0,21.0
2010-05-03,10.0,13.5,20.0,21.0
2010-05-04,10.0,14.0,20.0,21.0
2010-05-05,10.0,14.0,20.0,21.0
2010-05-06,10.0,14.0,20.0,21.0
2010-05-07,10.0,14.0,20.0,20.0
2010-05-08,10.0,13.5,20.0,20.0
2010-05-09,10.0,13.0,20.0,20.0
2010-05-10,10.0,12.5,20.0,20.0
2010-05-11,10.0,12.0,20.0,20.0
2010-05-12,10.0,12.0,20.0,20.0
2010-05-13,10.0,12.0,20.0,20.0
2010-05-14,10.0,12.0,20.0,20.0
2010-05-15,10.0,12.0,20.0,20.0
2010-05-16,10.0,12.0,20.0,20.0
2010-05-17,10.0,12.0,20.0,20.0
2010-05-18,10.0,12.0,20.0,20.0
2010-05-19,10.0,12.0,20.0,20.0
2010-05-20,10.0,12.0,20.0,20.0
2010-05-21,12.0,12.0,20.0,20.0
2010-05-22,12.0,12.5,20.0,20.0
2010-05-23,12.0,13.0,20.0,20.0
2010-05-24,12.0,13.5,20.0,20.0
2010-05-25,12.0,14.0,20.0,20.0
2010-05-26,12.0,14.0,20.0,20.0
2010-05-27,12.0,14.0,20.0,20.166666666666668
2010-05-28,12.0,14.0,20.0,20.33333333333333
2010-05-29,12.0,14.0,20.0,20.5
